Елегія,Олександр Пушкін,https://knigogo.com.ua/knigi/elegiya/
Вовк та семеро козенят,Брати (Якоб і Вільгельм) Грімм,https://knigogo.com.ua/knigi/vovk-ta-semero-kozenyat/
Вовк і Ягня,Езоп,https://knigogo.com.ua/knigi/vovk-i-yagnya/
Чиж та Голуб,Леонід Глібов,https://knigogo.com.ua/knigi/chyzh-ta-golub/
Коли настав чудовий май,No author,https://knigogo.com.ua/knigi/koly-nastav-chudovyj-maj/
Скорочено Євгеній Онєгін,Олександр Пушкін,https://knigogo.com.ua/knigi/skorocheno-yevgenij-onyegin/
Ізольда білорука,Леся Українка,https://knigogo.com.ua/knigi/izolda-biloruka/
Жовтий туман,Олександр Волков,https://knigogo.com.ua/knigi/zhovtyj-tuman/
Послухайте!,Володимир Маяковський,https://knigogo.com.ua/knigi/posluhajte/
Маруся Чурай,Ліна Костенко,https://knigogo.com.ua/knigi/marusya-churaj/
Маска,Антон Чехов,https://knigogo.com.ua/knigi/maska-chehov/
Голова професора Доуеля,Олександр Бєляєв,https://knigogo.com.ua/knigi/golova-profesora-douelya/
Муза,Анна Ахматова,https://knigogo.com.ua/knigi/muza/
Пісня про друга,Володимир Висоцький,https://knigogo.com.ua/knigi/pisnya-pro-druga/
Сіроокий король,Анна Ахматова,https://knigogo.com.ua/knigi/sirookyj-korol/
Механічний апельсин,Ентоні Берджес,https://knigogo.com.ua/knigi/mehanichnyj-apelsyn/
Заступила чорна хмара,Тарас Шевченко,https://knigogo.com.ua/knigi/zastupyla-chorna-hmara/
Скорочено Гаррi Поттер i...,Джоан Роулінг,https://knigogo.com.ua/knigi/skorocheno-garri-potter-i-filosofskyj-kamin/
Швачка,Тарас Шевченко,https://knigogo.com.ua/knigi/shvachka/
У перетику ходила,Тарас Шевченко,https://knigogo.com.ua/knigi/u-peretyku-hodyla/
Вакханки,Евріпід,https://knigogo.com.ua/knigi/vakhanky/
"Бандуристе, орле сизий",Тарас Шевченко,https://knigogo.com.ua/knigi/banduryste-orle-syzyj/
